,location,total_sqft,bath,balcony,bhk,price
2261,Hennur Road,1290.0,2.0,1.0,3,94.5
2262,Hosa Road,1318.0,2.0,1.0,3,85.28
2263,Electronic City,1128.0,2.0,1.0,2,68.0
2264,Yelahanka,1327.0,2.0,3.0,2,85.0
2265,other,650.0,1.0,0.0,1,30.0
2266,Varthur,1200.0,3.0,1.0,3,67.75
2267,other,1500.0,2.0,2.0,3,89.99
2268,other,1350.0,4.0,2.0,4,145.0
2269,Electronic City Phase II,1000.0,2.0,1.0,2,28.88
2270,Jakkur,1819.18,3.0,1.0,3,160.0
2271,Nagarbhavi,900.0,1.0,0.0,1,175.0
2272,Hebbal,1355.0,3.0,1.0,3,83.87
2273,Sarakki Nagar,2145.0,4.0,1.0,3,270.0
2274,Malleshwaram,2475.0,4.0,3.0,3,300.0
2275,Kaggadasapura,1118.0,2.0,0.0,2,30.0
2276,other,910.0,1.0,1.0,1,42.0
2277,Hosakerehalli,1304.0,2.0,3.0,2,100.0
2278,CV Raman Nagar,1070.0,2.0,2.0,2,47.5
2279,Hebbal,3500.0,3.0,3.0,3,395.0
2280,Hoodi,1132.0,2.0,1.0,2,89.37
2281,Hebbal,2400.0,5.0,1.0,7,550.0
2282,Sector 2 HSR Layout,794.0,1.0,2.0,1,65.0
2283,Raja Rajeshwari Nagar,1090.0,2.0,2.0,2,43.59
2284,Gottigere,1500.0,3.0,2.0,3,70.0
2285,1st Phase JP Nagar,2059.0,3.0,2.0,3,225.0
2286,Kanakpura Road,525.0,1.0,1.0,1,30.0
2287,Bhoganhalli,1447.0,2.0,1.0,2,75.97
2288,Whitefield,1269.0,2.0,1.0,2,75.0
2289,other,4800.0,4.0,0.0,4,700.0
2290,Talaghattapura,1150.0,2.0,0.0,2,28.0
2291,Marathahalli,1208.0,2.0,2.0,2,70.0
2292,Ramamurthy Nagar,1185.0,2.0,1.0,2,45.5
2293,Laggere,1200.0,3.0,1.0,3,130.0
2294,Anekal,888.0,2.0,1.0,2,34.0
2295,other,532.0,1.0,1.0,1,22.49
2296,other,1060.0,3.0,1.0,3,62.0
2297,Electronic City,700.0,1.0,1.0,1,35.0
2298,Uttarahalli,1175.0,2.0,1.0,2,47.0
2299,Binny Pete,1365.0,2.0,1.0,2,122.0
2300,Doddathoguru,984.0,2.0,1.0,2,51.0
2301,Jalahalli East,1475.0,3.0,2.0,3,96.0
2302,Haralur Road,1300.0,2.0,2.0,2,79.0
2303,other,1550.0,2.0,3.0,2,160.0
2304,Akshaya Nagar,1410.0,4.0,2.0,4,160.0
2305,Yelahanka,4025.0,5.0,3.0,4,800.0
2306,Murugeshpalya,1845.0,3.0,3.0,3,91.0
2307,Sarjapura - Attibele Road,1676.0,3.0,3.0,3,52.0
2308,Uttarahalli,1137.0,2.0,1.0,2,63.0
2309,Electronic City,1360.0,2.0,1.0,3,70.5
2310,Judicial Layout,1700.0,3.0,2.0,3,155.0
2311,Kasavanhalli,2170.0,3.0,2.0,3,151.0
2312,Electronic City Phase II,1790.0,3.0,3.0,3,100.0
2313,Doddathoguru,550.0,1.0,1.0,1,17.0
2314,Somasundara Palya,1033.0,2.0,2.0,2,48.0
2315,other,1000.0,2.0,1.0,2,80.0
2316,Kasturi Nagar,1650.0,5.0,1.0,5,450.0
2317,Kambipura,883.0,2.0,1.0,2,39.0
2318,other,1500.0,2.0,0.0,3,97.0
2319,Marathahalli,1730.0,3.0,3.0,3,139.0
2320,Whitefield,1545.0,3.0,2.0,3,79.0
2321,other,1865.0,4.0,2.0,3,140.0
2322,Hebbal Kempapura,1150.0,2.0,2.0,2,40.0
2323,Kengeri,963.0,2.0,2.0,2,40.0
2324,Marsur,1200.0,3.0,1.0,3,120.0
2325,Basavangudi,2600.0,4.0,3.0,4,260.0
2326,Lingadheeranahalli,1682.0,3.0,1.0,3,120.0
2327,Hennur Road,901.0,2.0,1.0,2,49.5
2328,Ambalipura,1730.0,3.0,1.0,3,120.0
2329,Konanakunte,1200.0,4.0,0.0,4,125.0
2330,EPIP Zone,1500.0,3.0,3.0,3,102.0
2331,other,3500.0,4.0,2.0,4,245.0
2332,Horamavu Banaswadi,1357.0,2.0,2.0,2,54.0
2333,Yelahanka New Town,350.0,1.0,1.0,1,13.5
2334,Ramamurthy Nagar,1400.0,3.0,3.0,3,200.0
2335,Sarjapur  Road,835.0,1.0,1.0,1,46.95
2336,other,815.0,3.0,2.0,2,160.0
2337,Haralur Road,1444.0,2.0,1.0,3,80.0
2338,Kanakapura,1277.0,2.0,2.0,2,55.0
2339,Lingadheeranahalli,1521.0,3.0,1.0,3,94.71
2340,Vasanthapura,995.0,2.0,1.0,2,34.82
2341,Marathahalli,1325.0,1.0,1.0,2,92.0
2342,Marathahalli,1525.0,3.0,2.0,3,90.0
2343,Electronics City Phase 1,650.0,1.0,1.0,1,23.0
2344,Old Airport Road,1858.0,2.0,1.0,3,167.0
2345,Electronic City Phase II,769.0,2.0,1.0,2,40.0
2346,Electronic City,1571.0,3.0,2.0,3,105.0
2347,Hennur Road,1445.0,3.0,1.0,3,86.56
2348,Hosur Road,1590.0,2.0,2.0,3,135.0
2349,Bommasandra,902.0,2.0,2.0,2,49.0
2350,Sarjapur,2238.0,3.0,1.0,3,140.0
2351,Haralur Road,1088.0,2.0,1.0,2,68.0
2352,Kundalahalli,1920.0,3.0,2.0,3,150.0
2353,Margondanahalli,1000.0,2.0,0.0,2,57.0
2354,Horamavu Agara,1106.0,2.0,1.0,2,43.09
2355,Thanisandra,923.0,1.0,1.0,1,45.69
2356,Sarjapur  Road,2900.0,3.0,2.0,3,285.0
2357,Lakshminarayana Pura,1175.0,2.0,2.0,2,75.0
2358,Thubarahalli,975.0,2.0,1.0,2,55.0
2359,Hebbal,2400.0,4.0,1.0,3,180.0
2360,Harlur,1758.0,3.0,2.0,3,133.0
2361,Nagarbhavi,1200.0,3.0,2.0,3,265.0
2362,Hebbal,1255.0,2.0,1.0,3,77.68
2363,Pai Layout,1100.0,2.0,2.0,2,50.0
2364,Ramamurthy Nagar,1170.0,2.0,2.0,2,46.8
2365,Hebbal,1420.0,2.0,2.0,2,107.0
2366,other,1200.0,4.0,2.0,4,300.0
2367,Kanakpura Road,1591.0,3.0,1.0,3,115.0
2368,7th Phase JP Nagar,1680.0,3.0,2.0,3,120.0
2369,other,675.0,3.0,1.0,2,52.0
2370,Hoodi,1055.0,2.0,1.0,2,57.63
2371,Iblur Village,1918.0,3.0,2.0,3,129.0
2372,Sarjapur  Road,1280.0,2.0,1.0,2,76.0
2373,Talaghattapura,2106.0,3.0,2.0,3,126.0
2374,other,1801.0,3.0,2.0,3,139.0
2375,Rajaji Nagar,1718.0,3.0,2.0,2,288.0
2376,Hebbal,1320.0,2.0,1.0,2,92.0
2377,Kalyan nagar,3800.0,5.0,3.0,4,300.0
2378,Bannerghatta Road,1893.0,3.0,2.0,3,100.0
2379,Chandapura,1107.0,2.0,1.0,3,43.0
2380,Lakshminarayana Pura,1190.0,2.0,1.0,2,75.0
2381,other,2400.0,2.0,1.0,2,160.0
2382,Kumaraswami Layout,1000.0,2.0,1.0,2,48.5
2383,Jalahalli,2113.0,3.0,2.0,3,155.0
2384,KR Puram,1100.0,2.0,1.0,2,46.0
2385,Kudlu,1027.0,2.0,2.0,2,43.0
2386,other,1150.0,2.0,1.0,2,75.0
2387,other,1200.0,3.0,2.0,3,165.0
2388,Kudlu Gate,703.0,1.0,1.0,1,52.0
2389,Bellandur,1195.0,2.0,2.0,2,51.0
2390,Narayanapura,1302.0,2.0,1.0,2,69.1
2391,Begur Road,1583.0,3.0,1.0,3,74.4
2392,Whitefield,3262.0,4.0,2.0,4,260.0
2393,Electronic City,1600.0,3.0,2.0,3,104.0
2394,Old Airport Road,1150.0,2.0,1.0,2,90.0
2395,Sarjapur  Road,1263.0,2.0,1.0,2,78.0
2396,Kanakpura Road,1299.0,2.0,2.0,2,85.0
2397,Banashankari,1330.0,2.0,1.0,2,78.0
2398,Bannerghatta Road,1600.0,3.0,2.0,3,95.0
2399,other,1390.0,2.0,2.0,3,80.0
2400,Hebbal,919.0,2.0,1.0,2,49.0
2401,Gunjur,1195.0,2.0,2.0,2,44.0
2402,Domlur,2400.0,4.0,1.0,6,600.0
2403,Yelenahalli,1159.0,2.0,1.0,2,60.0
2404,Harlur,1197.0,2.0,1.0,2,79.0
2405,Old Airport Road,2690.0,4.0,3.0,4,191.0
2406,Bommasandra,1295.0,2.0,1.0,3,50.28
2407,Whitefield,1132.0,2.0,1.0,2,79.28
2408,other,2350.0,3.0,2.0,3,400.0
2409,Hebbal,1645.0,3.0,2.0,3,135.0
2410,Whitefield,3000.0,4.0,0.0,4,330.0
2411,Marathahalli,1937.0,3.0,2.0,3,140.0
2412,Doddathoguru,1015.0,2.0,2.0,2,33.5
2413,Kathriguppe,1350.0,2.0,2.0,3,80.99
2414,Kothanur,1185.0,2.0,2.0,2,59.0
2415,Domlur,1720.0,3.0,1.0,3,135.0
2416,Hebbal,2080.0,3.0,3.0,3,175.0
2417,Tindlu,1500.0,3.0,1.0,3,87.0
2418,Yelahanka,1566.0,3.0,2.0,3,97.0
2419,other,1500.0,4.0,0.0,4,110.0
2420,KR Puram,1290.0,2.0,1.0,2,49.02
2421,other,1839.0,3.0,3.0,3,165.0
2422,other,4200.0,4.0,1.0,4,760.0
2423,Kaval Byrasandra,1100.0,2.0,1.0,2,46.0
2424,Uttarahalli,1315.0,2.0,2.0,3,74.0
2425,Anandapura,1141.0,2.0,1.0,2,42.75
2426,AECS Layout,1080.0,2.0,2.0,2,55.0
2427,HBR Layout,1200.0,2.0,2.0,2,60.0
2428,Varthur,1111.0,2.0,2.0,2,41.88
2429,NGR Layout,1022.0,2.0,1.0,2,45.9
2430,Bannerghatta Road,1275.0,2.0,2.0,2,65.0
2431,other,900.0,2.0,1.0,2,70.0
2432,Rachenahalli,1224.0,2.0,3.0,2,39.2
2433,Battarahalli,1135.0,2.0,3.0,2,43.0
2434,Rachenahalli,1050.0,2.0,2.0,2,52.1
2435,Kudlu Gate,1535.0,3.0,2.0,3,86.0
2436,Nagavarapalya,1392.0,2.0,1.0,2,130.0
2437,Bellandur,1050.0,2.0,2.0,2,72.0
2438,Hosa Road,1513.0,3.0,1.0,3,103.0
2439,Gottigere,1621.0,3.0,3.0,3,72.0
2440,Bannerghatta Road,892.0,2.0,1.0,2,39.0
2441,Hebbal,1355.0,3.0,2.0,3,83.87
2442,Indira Nagar,1400.0,2.0,2.0,2,168.0
2443,Kengeri,726.0,2.0,1.0,2,35.0
2444,other,1500.0,3.0,2.0,3,149.0
2445,Hebbal,3895.0,4.0,2.0,4,405.0
2446,Horamavu Agara,1079.0,2.0,2.0,2,41.0
2447,Begur Road,1170.0,2.0,2.0,2,46.0
2448,Doddathoguru,1104.0,2.0,2.0,2,39.0
2449,Hormavu,4818.0,4.0,3.0,4,390.0
2450,Kogilu,1559.0,3.0,2.0,3,127.0
2451,Benson Town,1750.0,3.0,3.0,3,150.0
2452,Ramagondanahalli,1215.0,2.0,1.0,2,45.5
2453,Talaghattapura,1868.0,3.0,1.0,3,135.0
2454,Sarjapur  Road,1691.0,3.0,1.0,3,98.0
2455,Ardendale,4355.0,3.0,1.0,5,350.0
2456,Hulimavu,1225.0,2.0,2.0,2,55.0
2457,JP Nagar,1690.0,3.0,2.0,3,112.0
2458,Thigalarapalya,1418.0,2.0,2.0,2,103.0
2459,Kasturi Nagar,1896.0,3.0,1.0,4,125.0
2460,Sonnenahalli,605.0,1.0,1.0,1,40.0
2461,Electronic City Phase II,900.0,2.0,2.0,2,32.5
2462,other,750.0,2.0,0.0,1,50.0
2463,Ananth Nagar,908.0,2.0,1.0,2,26.0
2464,Thanisandra,3216.0,4.0,1.0,4,226.0
2465,BEML Layout,2400.0,4.0,1.0,5,225.0
2466,Iblur Village,1400.0,2.0,2.0,2,68.0
2467,Kudlu,1092.0,2.0,2.0,2,44.0
2468,Hulimavu,1255.0,2.0,2.0,2,74.0
2469,Electronic City,1500.0,2.0,1.0,3,100.0
2470,Horamavu Banaswadi,925.0,2.0,3.0,2,38.0
2471,Raja Rajeshwari Nagar,1023.0,2.0,2.0,2,42.0
2472,other,600.0,3.0,2.0,2,75.0
2473,Choodasandra,1530.0,3.0,2.0,3,77.0
2474,Hosakerehalli,1925.0,2.0,1.0,2,50.0
2475,Kogilu,1190.0,2.0,2.0,2,50.66
2476,6th Phase JP Nagar,1140.0,2.0,2.0,2,65.0
2477,Green Glen Layout,1725.0,3.0,2.0,3,130.0
2478,Bisuvanahalli,1075.0,2.0,1.0,3,50.0
2479,Kannamangala,1574.0,3.0,1.0,3,93.34
2480,Sanjay nagar,965.0,1.0,1.0,1,32.0
2481,Kambipura,1082.0,2.0,1.0,3,55.0
2482,Uttarahalli,1215.0,2.0,2.0,3,52.85
2483,Hebbal,2483.0,5.0,2.0,4,230.0
2484,other,1500.0,1.0,1.0,1,19.5
2485,other,2360.0,4.0,2.0,4,600.0
2486,Hebbal,2600.0,3.0,2.0,3,195.0
2487,other,1200.0,2.0,1.0,2,160.0
2488,Pai Layout,1255.0,2.0,1.0,2,80.0
2489,other,1904.0,3.0,3.0,3,155.0
2490,Somasundara Palya,1329.0,2.0,2.0,2,70.0
2491,Chandapura,1200.0,2.0,1.0,2,60.0
2492,Murugeshpalya,2135.0,3.0,2.0,3,160.0
2493,other,2770.0,4.0,3.0,3,315.0
2494,other,813.0,1.0,1.0,1,39.0
2495,other,3876.0,3.0,1.0,3,300.0
2496,Kalena Agrahara,800.0,2.0,2.0,2,30.0
2497,other,1630.0,2.0,2.0,3,97.78
2498,NGR Layout,1020.0,2.0,2.0,2,48.45
2499,other,2425.0,4.0,3.0,4,173.0
2500,Varthur,1097.0,2.0,1.0,2,33.82
2501,Raja Rajeshwari Nagar,1070.0,2.0,1.0,2,50.0
2502,Kumaraswami Layout,1000.0,2.0,1.0,2,58.0
2503,Jigani,937.0,2.0,1.0,2,44.0
2504,Green Glen Layout,1075.0,2.0,1.0,2,60.0
2505,Panathur,1000.0,2.0,1.0,2,65.3
2506,Babusapalaya,1050.0,2.0,3.0,2,45.0
2507,Marathahalli,1350.0,2.0,1.0,2,86.0
2508,Mallasandra,1325.0,2.0,1.0,2,70.0
2509,Hosur Road,1890.0,3.0,2.0,3,162.0
2510,other,735.0,1.0,1.0,1,75.0
2511,other,500.0,1.0,0.0,1,24.0
2512,Gottigere,1304.0,3.0,3.0,3,80.0
2513,Yelahanka,1653.0,3.0,2.0,3,120.0
2514,Bisuvanahalli,1075.0,2.0,1.0,3,52.0
2515,7th Phase JP Nagar,1212.0,3.0,1.0,2,42.0
2516,other,1200.0,4.0,0.0,3,145.0
2517,Billekahalli,1140.0,2.0,2.0,2,50.0
2518,other,1200.0,2.0,1.0,2,100.0
2519,Kudlu Gate,1532.0,3.0,2.0,3,83.0
2520,other,2776.0,4.0,2.0,3,195.0
2521,Uttarahalli,1325.0,2.0,1.0,2,53.0
2522,other,1200.0,3.0,1.0,3,160.0
2523,R.T. Nagar,2000.0,4.0,2.0,4,320.0
2524,Bannerghatta Road,1260.0,2.0,2.0,2,70.0
2525,Vittasandra,1934.0,2.0,0.0,2,90.0
2526,Malleshpalya,1060.0,2.0,1.0,2,40.0
2527,Kasavanhalli,1476.0,3.0,1.0,3,95.0
2528,Murugeshpalya,1185.0,2.0,1.0,2,85.0
2529,other,1265.0,2.0,1.0,3,82.0
2530,EPIP Zone,1280.0,2.0,1.0,2,69.0
2531,Indira Nagar,2400.0,4.0,2.0,4,525.0
2532,Whitefield,1195.0,2.0,1.0,2,70.0
2533,Ulsoor,2000.0,3.0,3.0,3,185.0
2534,Hosur Road,1180.0,2.0,2.0,2,36.5
2535,Jakkur,1050.0,2.0,1.0,2,49.87
2536,other,1030.0,2.0,1.0,2,77.25
2537,Subramanyapura,929.0,2.0,1.0,2,48.0
2538,Green Glen Layout,1485.0,3.0,2.0,3,115.0
2539,Electronics City Phase 1,1124.0,2.0,2.0,3,55.0
2540,TC Palaya,2400.0,6.0,3.0,6,370.0
2541,Hennur Road,1482.0,2.0,3.0,3,97.0
2542,Sector 7 HSR Layout,1163.0,2.0,1.0,2,98.86
2543,Jalahalli,1570.0,3.0,2.0,3,140.0
2544,Chandapura,520.0,1.0,1.0,1,14.04
2545,other,2000.0,3.0,2.0,3,160.0
2546,Prithvi Layout,1352.0,2.0,2.0,2,75.0
2547,Electronic City,1152.0,2.0,1.0,2,65.0
2548,other,1575.0,3.0,2.0,3,93.0
2549,Hegde Nagar,1965.0,4.0,2.0,3,125.0
2550,Marathahalli,957.0,2.0,1.0,2,47.0
2551,Hoskote,1740.0,3.0,3.0,3,60.0
2552,Neeladri Nagar,1060.0,2.0,0.0,2,35.0
2553,Ramamurthy Nagar,1150.0,2.0,2.0,2,51.0
2554,Kanakapura,1151.0,2.0,1.0,2,59.0
2555,Uttarahalli,1300.0,2.0,2.0,3,60.0
2556,Garudachar Palya,1150.0,2.0,1.0,2,52.8
2557,Hebbal,1645.0,3.0,2.0,3,117.0
2558,Babusapalaya,1141.0,2.0,1.0,2,45.9
2559,7th Phase JP Nagar,1175.0,2.0,2.0,2,82.5
2560,Banashankari Stage V,1355.0,2.0,1.0,3,61.0
2561,Dasarahalli,1150.0,2.0,0.0,2,70.0
2562,Balagere,1007.0,2.0,1.0,2,65.0
2563,Kothanur,1436.0,3.0,3.0,3,70.0
2564,Rajaji Nagar,1200.0,2.0,0.0,2,150.0
2565,Rayasandra,1016.0,2.0,1.0,2,58.0
2566,Dodda Nekkundi,1100.0,2.0,2.0,2,48.0
2567,Electronic City,1070.0,2.0,1.0,2,60.0
2568,Kadubeesanahalli,1532.0,3.0,1.0,3,115.0
2569,Hennur,1040.0,2.0,2.0,2,42.12
2570,other,3100.0,3.0,3.0,3,250.0
2571,Tumkur Road,1137.5,2.0,0.0,2,48.905
2572,Rajaji Nagar,1160.0,1.0,0.0,2,163.0
2573,ITPL,3262.0,5.0,2.0,4,205.0
2574,other,2100.0,7.0,0.0,7,410.0
2575,other,1190.0,2.0,2.0,2,100.0
2576,HRBR Layout,1210.0,2.0,1.0,2,75.0
2577,other,1500.0,3.0,3.0,3,95.0
2578,Rachenahalli,1050.0,2.0,2.0,2,53.5
2579,Hebbal,1251.0,2.0,1.0,2,88.73
2580,HSR Layout,1600.0,2.0,2.0,3,115.0
2581,Electronic City,1128.0,2.0,1.0,2,65.5
2582,Budigere,1820.0,3.0,2.0,3,93.0
2583,Thigalarapalya,2072.0,4.0,2.0,3,159.0
2584,Hoodi,1925.0,2.0,3.0,3,114.0
2585,Hennur Road,2651.0,2.0,2.0,3,225.0
2586,Kumaraswami Layout,1000.0,2.0,2.0,2,36.0
2587,KR Puram,1752.0,3.0,2.0,3,145.0
2588,Sahakara Nagar,960.0,2.0,3.0,2,56.0
2589,Benson Town,2270.0,3.0,1.0,3,180.0
2590,NRI Layout,650.0,2.0,0.0,2,59.0
2591,Lakshminarayana Pura,1200.0,2.0,1.0,2,75.0
2592,Bisuvanahalli,1180.0,2.0,1.0,3,46.0
2593,Bannerghatta Road,1157.0,2.0,0.0,2,40.0
2594,Banashankari Stage III,1305.0,2.0,1.0,3,59.0
2595,Hegde Nagar,2006.0,4.0,2.0,3,196.0
2596,Jakkur,1290.0,2.0,1.0,2,80.0
2597,Hoskote,1170.0,2.0,3.0,2,45.0
2598,Yelachenahalli,1400.0,2.0,3.0,2,78.0
2599,Lakshminarayana Pura,1200.0,2.0,2.0,2,75.0
2600,Hormavu,1725.0,3.0,2.0,3,85.0
2601,Kanakpura Road,700.0,2.0,1.0,2,40.0
2602,Hoodi,1112.0,2.0,1.0,2,88.0
2603,Badavala Nagar,1274.0,2.0,1.0,2,81.0
2604,Doddathoguru,915.0,2.0,1.0,2,32.0
2605,Hosur Road,760.0,1.0,2.0,1,21.28
2606,other,1645.0,3.0,2.0,3,95.0
2607,other,1200.0,4.0,2.0,4,170.0
2608,other,1200.0,4.0,1.0,4,140.0
2609,Yelenahalli,1056.0,2.0,2.0,2,33.0
2610,Uttarahalli,850.0,2.0,2.0,2,35.0
2611,Green Glen Layout,1715.0,3.0,2.0,3,115.0
2612,8th Phase JP Nagar,1080.0,2.0,2.0,2,38.0
2613,Kasavanhalli,1200.0,2.0,1.0,2,50.3
2614,other,2400.0,4.0,0.0,4,550.0
2615,Banashankari,1400.0,2.0,1.0,3,78.0
2616,Whitefield,1500.0,4.0,3.0,4,200.0
2617,Kanakpura Road,458.0,1.0,0.0,1,19.695
2618,Marathahalli,1230.0,2.0,1.0,2,57.0
2619,Banashankari,1700.0,3.0,2.0,3,125.0
2620,Banashankari,1020.0,2.0,2.0,2,40.79
2621,Nagarbhavi,1200.0,2.0,1.0,2,150.0
2622,Yelahanka,1275.0,2.0,2.0,3,95.0
2623,other,1600.0,3.0,1.0,4,165.0
2624,Kanakapura,1110.0,2.0,2.0,2,38.85
2625,Uttarahalli,1627.86,3.0,2.0,3,88.0
2626,Whitefield,3004.0,4.0,2.0,4,285.0
2627,Hosa Road,1133.0,2.0,1.0,2,52.0
2628,Hennur Road,1182.0,2.0,2.0,2,82.5
2629,Tumkur Road,1500.0,3.0,3.0,3,100.0
2630,Marathahalli,1200.0,2.0,2.0,2,58.0
2631,Raja Rajeshwari Nagar,1128.0,2.0,1.0,2,48.79
2632,other,900.0,2.0,2.0,2,110.0
2633,Amruthahalli,1100.0,2.0,1.0,2,45.0
2634,Kengeri Satellite Town,635.0,1.0,1.0,2,22.0
2635,Thanisandra,1874.0,4.0,1.0,3,130.0
2636,Old Madras Road,1171.0,2.0,2.0,2,75.0
2637,Sarjapur,2020.0,3.0,3.0,3,85.0
2638,8th Phase JP Nagar,1059.0,2.0,2.0,2,34.5
2639,Jakkur,1760.0,3.0,2.0,3,110.0
2640,other,1200.0,2.0,1.0,2,125.0
2641,Hebbal,1645.0,3.0,2.0,3,121.0
2642,Whitefield,1250.0,2.0,2.0,2,72.0
2643,Whitefield,709.0,1.0,0.0,1,34.385
2644,Whitefield,1340.0,2.0,1.0,2,77.0
2645,Cooke Town,2388.0,4.0,3.0,3,239.0
2646,Hosa Road,1369.1,2.0,1.0,2,104.0
2647,Bannerghatta Road,1150.0,2.0,2.0,2,65.0
2648,Kanakapura,1938.0,3.0,3.0,3,113.0
2649,Begur Road,2462.0,4.0,3.0,4,124.0
2650,Budigere,1636.0,3.0,2.0,3,85.0
2651,Akshaya Nagar,1430.0,2.0,2.0,3,75.0
2652,Electronic City Phase II,993.0,2.0,2.0,3,50.0
2653,Laggere,1260.0,4.0,1.0,4,150.0
2654,Yelahanka,1270.0,2.0,2.0,2,78.0
2655,Anjanapura,1500.0,3.0,1.0,3,121.0
2656,Koramangala,2300.0,3.0,3.0,3,290.0
2657,Panathur,1109.0,2.0,1.0,2,63.0
2658,Sarjapur,2885.0,3.0,1.0,4,185.0
2659,Devanahalli,1600.0,3.0,2.0,3,180.0
2660,Marathahalli,607.0,1.0,1.0,1,35.0
2661,Kammasandra,930.0,2.0,0.0,2,25.0
2662,Varthur,4500.0,5.0,2.0,4,300.0
2663,Electronic City Phase II,1418.0,3.0,2.0,3,52.47
2664,EPIP Zone,1125.0,2.0,1.0,2,65.0
2665,CV Raman Nagar,1825.0,3.0,2.0,3,126.0
2666,Whitefield,1320.0,2.0,3.0,2,79.5
2667,other,1490.0,2.0,2.0,3,300.0
2668,other,1650.0,3.0,1.0,4,300.0
2669,Whitefield,750.0,2.0,1.0,2,52.7
2670,Yelahanka,1400.0,2.0,2.0,3,80.54
2671,other,4104.0,4.0,3.0,4,360.0
2672,Mahadevpura,3295.0,4.0,2.0,5,260.0
2673,Whitefield,1200.0,3.0,1.0,3,61.96
2674,Poorna Pragna Layout,965.0,2.0,2.0,2,48.0
2675,Gottigere,812.0,1.0,1.0,1,26.0
2676,KR Puram,1100.0,2.0,2.0,2,43.0
2677,HSR Layout,1145.0,2.0,2.0,2,48.0
2678,Haralur Road,1027.0,2.0,1.0,2,44.0
2679,Hegde Nagar,1200.0,2.0,0.0,2,75.0
2680,Kenchenahalli,1015.0,2.0,2.0,2,58.0
2681,Kaggalipura,2400.0,3.0,1.0,3,165.0
2682,Whitefield,3000.0,4.0,3.0,4,306.0
2683,JP Nagar,1300.0,2.0,1.0,2,109.0
2684,Hebbal Kempapura,1300.0,2.0,2.0,2,102.0
2685,Hosa Road,1512.0,3.0,1.0,3,123.0
2686,Bhoganhalli,1053.4,3.0,1.0,3,88.91
2687,Yeshwanthpur,605.0,1.0,0.0,1,41.745
2688,Hormavu,1153.0,2.0,1.0,2,65.0
2689,other,2080.0,2.0,1.0,2,150.0
2690,Hulimavu,1255.0,2.0,2.0,2,69.0
2691,Marathahalli,1583.0,3.0,3.0,3,109.0
2692,Kathriguppe,1365.0,2.0,2.0,3,75.08
2693,other,1200.0,3.0,3.0,3,95.75
2694,other,1810.0,4.0,3.0,3,148.0
2695,Magadi Road,440.0,1.0,0.0,1,35.0
2696,Subramanyapura,975.0,2.0,1.0,2,63.0
2697,other,1530.0,2.0,1.0,3,97.0
2698,Channasandra,1115.0,2.0,1.0,2,40.0
2699,Sarjapur  Road,1308.0,2.0,1.0,2,83.0
2700,Parappana Agrahara,1194.0,2.0,2.0,2,47.0
2701,Sarjapur  Road,1592.0,3.0,1.0,3,91.0
2702,Rajaji Nagar,1222.0,2.0,0.0,2,112.0
2703,Raja Rajeshwari Nagar,1267.0,2.0,2.0,2,42.85
2704,Balagere,656.0,1.0,1.0,1,53.0
2705,Dodda Nekkundi,3400.0,4.0,3.0,4,530.0
2706,Chandapura,1200.0,1.0,1.0,2,36.0
2707,Thanisandra,1698.0,3.0,2.0,3,102.0
2708,Electronic City,1152.0,2.0,1.0,2,65.75
2709,Raja Rajeshwari Nagar,550.0,1.0,0.0,1,21.0
2710,Pattandur Agrahara,900.0,2.0,2.0,2,42.0
2711,Akshaya Nagar,1419.0,2.0,3.0,3,73.0
2712,Amruthahalli,1200.0,2.0,1.0,2,55.0
2713,Gottigere,990.0,2.0,1.0,2,40.0
2714,Bannerghatta Road,1100.0,2.0,0.0,2,39.0
2715,other,1500.0,2.0,1.0,3,130.0
2716,Frazer Town,2560.0,3.0,2.0,3,265.0
2717,Dasarahalli,2400.0,3.0,3.0,7,150.0
2718,Talaghattapura,1856.0,3.0,2.0,3,135.0
2719,Sarjapur  Road,1150.0,2.0,2.0,2,77.0
2720,Hennur Road,1036.0,2.0,1.0,2,59.46
2721,Whitefield,3445.0,5.0,3.0,4,270.0
2722,Bommanahalli,1110.0,2.0,2.0,2,33.0
2723,Kodichikkanahalli,1150.0,2.0,3.0,2,48.0
2724,Kenchenahalli,715.0,1.0,1.0,1,45.0
2725,Magadi Road,1200.0,4.0,0.0,4,130.0
2726,Whitefield,1700.0,3.0,1.0,3,140.0
2727,Kanakpura Road,1591.0,3.0,1.0,3,120.0
2728,Marathahalli,2500.0,3.0,3.0,5,200.0
2729,other,1533.0,3.0,2.0,3,150.0
2730,Cunningham Road,3815.0,3.0,1.0,3,763.0
2731,Banashankari Stage II,1500.0,2.0,1.0,3,120.0
2732,Begur Road,1160.0,2.0,2.0,2,42.92
2733,Chandapura,620.0,1.0,1.0,1,27.0
2734,other,2400.0,9.0,3.0,8,350.0
2735,Whitefield,4827.0,4.0,3.0,4,400.0
2736,Whitefield,1405.0,2.0,2.0,2,84.5
2737,Gunjur,1190.0,2.0,2.0,2,40.0
2738,Harlur,1174.0,2.0,1.0,2,78.0
2739,Seegehalli,1155.0,2.0,0.0,2,72.0
2740,Thanisandra,1411.0,3.0,1.0,3,93.04
2741,other,745.0,2.0,0.0,2,50.0
2742,Kereguddadahalli,1000.0,2.0,2.0,2,30.0
2743,Jigani,923.0,2.0,1.0,2,50.0
